 Magnetization  Partition Function          Free Energy
         -16   15.783564075809634       -11.311773515953636     
         -14   256.92027217694772       -22.749939828269596     
         -12   1955.3931465930780       -31.071220855834550     
         -10   9237.6713561767083       -37.437284972090943     
          -8   30321.588512869217       -42.310422442874192     
          -6   73330.238094064829       -45.931186144666370     
          -4   135170.04154097760       -48.438584210387262     
          -2   193726.86366007602       -49.914238559543399     
           0   218177.77323603086       -50.401568480353674     
           2   193726.86366009092       -49.914238559543712     
           4   135170.04154097740       -48.438584210387262     
           6   73330.238094060944       -45.931186144666164     
           8   30321.588512869461       -42.310422442874220     
          10   9237.6713561767283       -37.437284972090957     
          12   1955.3931465930789       -31.071220855834554     
          14   256.92027217694772       -22.749939828269596     
          16   15.783564075809634       -11.311773515953636     
