 Magnetization  Partition Function          Free Energy
         -16   15.757465128396966       -9.9263312257912659     
         -14   257.67817124561827       -19.986161068800012     
         -12   1968.7180240853720       -27.306496298547472     
         -10   9330.0248283075580       -32.907574637870617     
          -8   30701.963959299475       -37.195494854921087     
          -6   74392.895601297976       -40.381616617314954     
          -4   137314.35658924896       -42.588101339785517     
          -2   196958.26483019622       -43.886689673839719     
           0   221876.13478677458       -44.315548393430447     
           2   196958.26483018757       -43.886689673839562     
           4   137314.35658924957       -42.588101339785538     
           6   74392.895601301978       -40.381616617315146     
           8   30701.963959299297       -37.195494854921066     
          10   9330.0248283076653       -32.907574637870667     
          12   1968.7180240853668       -27.306496298547462     
          14   257.67817124561827       -19.986161068800012     
          16   15.757465128396966       -9.9263312257912659     
