 Magnetization  Partition Function          Free Energy
         -16   15.768620526593736       -10.480483305935119     
         -14   257.33122122922617       -21.091383403925239     
         -12   1962.7005624434121       -28.811891239061001     
         -10   9288.4571400316436       -34.718805413961576     
          -8   30531.007938957129       -39.240692779579689     
          -6   73915.660556686300       -42.600584000007991     
          -4   136351.76537013912       -44.927374675022897     
          -2   195507.99711391461       -46.296754941392948     
           0   220216.40707972186       -46.748990839496521     
           2   195507.99711390314       -46.296754941392727     
           4   136351.76537013930       -44.927374675022904     
           6   73915.660556688847       -42.600584000008119     
           8   30531.007938957759       -39.240692779579774     
          10   9288.4571400317473       -34.718805413961618     
          12   1962.7005624434119       -28.811891239061001     
          14   257.33122122922617       -21.091383403925239     
          16   15.768620526593736       -10.480483305935119     
